Onoclea,sensibilis,
Paspalum,dissectum,
Paspalum,floridanum,
Paspalum,laeve,
Paspalum,notatum,
Paspalum,plicatulum,
Juncus,polwephalus,
Juncus,repens,
Juncus,scirpoides,
Juncus,tenuis,
Spirodela,punctata,
Aletris,aurea,
Aletris,farinosa,
Aletris,lutea,
Allium,bivalve,
Allium,canadense,
Lilium,catesbaei,
Polygonatum,biflorum,
Uvularia,floridana,
Calopogon,pallidus,
Calopogon,tuberosus,
Corallorhiza,wisteriana,
Epidendrum,conopseum,
Eulophia,ecristata,
Habenaria,quinqueseta,
Platanthera,ciliaris,
Platanthera,cristata,
Platanthera,nivea,
Spiranthes,laciniata,
Spiranthes,longilabris,
Spiranthes,praecox,
Spiranthes,tuberosa,
Rhapidophyllum,hystrix,
Sabal,minor,
Serenoa,repens,
Potamogeton,diversifolius,
Smilax,auriculata,
Smilax,bona-nox,
Smilax,ecirrhata,
Smilax,glauca,
Smilax,lasioneuron,
Smilax,laurifolia,
Asimina,longifolia,
Asimina,parviflora,
Amsonia,ciliata,
Amsonia,rigida,
Amsonia,tabernaemontana,
Apocynum,cannabinum,
Trachelospermum,difforme,
Ilex,ambigua,
Ilex,decidua,
Ilex,glabra,
Ilex,myrtifolia,
Ilex,opaca,
Ilex,vomitoria,
Aralia,spinosa,
Aristolochia,serpentaria,
Aristolochia,tomentosa,
Hexastylis,arifolia,
Asciepias,amplexicaulis,
Asclepias,cinerea,
Asciepias,humistrata,
Asclepias,lanceolata,
Asclepias,longifolia,
Asclepias,michauxii,
Asclepias,obovata,
Asclepias,perennis,
Asclepias,tuberosa,
Asclepias,variegata,
Asclepias,verticillata,
Asclepias,viridiflora,
Matelea,flavidula,
Matelea,gonocarpa,
Nandina,domestica,
Cerastium,glomeratum,
Paronychia,baldwinii,
Paronychia,rugelii,
Sagina,decumbens,
Silene,antirrhina,
Stellaria,media,
Stipulicida,setacea,
Euonymous,americanus,
Chenopodium,album,
Chenopodium,ambrosioides,
Licania,michauxii,
Helianthemum,carolinianum,
Helianthemum,rosmarinifolium,
Lechea,minor,
Lechea,mucronata,
Lechea,sessiliflora,
Clethra,alnifolia,
Acanthospermum,australe,
Acanthospermum,hispidum,
Ageratina,aromatica,
Ambrosia,artemisiifolia,
Ambrosia,psilostachya,
Aster,adnatus,
Aster,concolor,
Aster,dumosus,
Aster,lateriflorus,
Aster,linariifolius,
Aster,pilosus,
Aster,sagittifolius,
Aster,tortifolius,
Aster,vimineus,
Baccharis,halimifolia,
Balduina,uniflora,
Bidens,bipinnata,
Bidens,frondosa,
Bigelowia,nudata,
Haplopappus,divaricatus,
Helenium,amarum,
Helenium,autumnale,
Helenium,flexuosum,
Helenium,pinnatifidum,
Helianthus,angustifolius,
Helianthus,heterophyllus,
Helianthus,microcephalus,
Helianthus,radula,
Heliopsis,helianthoides,
Heterotheca,subaxillaris,
Hieracium,gronovii,
Hymenopappus,scabiosaeus,
Hypochoeris,glabra,
Iva,microcephala,
Krigia,cespitosa,
Krigia,dandelion,
Krigia,virginica,
Kuhnia,eupatorioides,
Lactuca,canadensis,
Lactuca,floridana,
Lactuca,graminifolia,
Liatris,aspera,
Liatris,elegans,
Liatris,gracilis,
Liatris,graminifolia,
Liatris,tenuifolia,
Lygodesmia,aphylla,
Melanthera,nivea,
Mikania,scandens,
Pityopsis,adenolepis,
Pityopsis,graminifolia,
Pluchea,camphorata,
Pluchea,rosea,
Prenanthes,serpentaria,
Pterocaulon,pycnostachyum,
Pyrrhopappus,carolinianus,
Rudbeckia,hirta,
Rudbeckia,mohrii,
Sclerolepis,uniflora,
Senecio,anonymus,
Senecio,tomentosus,
Silphium,asteriscus,
Silphium,simpsonii,
Solidago,arguta,
Solidago,canadensis,
Solidago,fistulosa,
Drosera,brevifolia,
Drosera,capillaris,
Diospyros,virginiana,
Gaylussacia,dumosa,
Gaylussacia,frondosa,
Leucothoe,racemosa,
Lyonia,lucida,
Rhododendron,austrinum,
Rhododendron,canescens,
Vaccinium,arboreum,
Vaccinium,corymbosum,
Vaccinium,darrowii,
Vaccinium,elliottii,
Vaccinium,myrsinites,
Vaccinium,stamineum,
Acalypha,gracilens,
Acalypha,rhomboidea,
Aleurites,fordii,
Chamaesyce,cordifolia,
Chamaesyce,hyssopifolia,
Chamaesyce,maculata,
Chamaesyce,nutans,
Cnidoscolus,stimulosus,
Croton,argyranthemus,
Croton,capitatis,
Croton,elliottii,
Croton,glandulosus,
Crotonopsis,linearis,
Euphorbia,cyathophora,
Euphorbia,pubentissima,
Phyllanthus,caroliniensis,
Phyllanthus,urinaria,
Sebastiania,fruticosa,
Stillingia,sylvatica,
Hypericum,gentianoides,
Hypericum,harperi,
Hypericum,hypericoides,
Hypericum,mutilum,
Hypericum,myrtifolium,
Hypericum,nitidum,
Hypericum,pseudomaculatum,
Hypericum,setosum,
Hypericum,suffruticosum,
Triadenum,virginicum,
Triadenum,walteri,
Proserpinaca,palustris,
Proserpinaca,pectinata,
Hamamelis,virginiana,
Liquidambar,styraciflua,
Aesculus,pavia,
Hydrolea,ovata,
Hydrolea,corymbosa,
Carya,aquatica,
Carya,cordiformis,
Carya,glabra,
Carya,ovalis,
Carya,ovata,
Carya,tomentosa,
Calamintha,georgiana,
Dicerandra,linearifolia,
Hyptis,alata,
Hyptis,mutabilis,
Lamium,amplexicaule,
Leonotis,nepetifolia,
Desmodium,marilandicum,
Desmodium,obtusum,
Desmodium,paniculatum,
Desmodium,perplexum,
Desmodium,strictum,
Desmodium,tortuosum,
Desmodium,viridiflorum,
Dioclea,multiflora,
Erythrina,herbacea,
Galactia,erecta,
Galactia,floridana,
Galactia,microphylla,
Galactia,mollis,
Galactia,volubilis,
Gleditsia,aquatica,
Indigofera,caroliniana,
Indigofera,hirsuta,
Kummerowia,striata,
Lespedeza,angustifolia,
Lespedeza,bicolor,
Lespedeza,capitata,
Lespedeza,hirta,curtisii
Lespedeza,procumbens,
Lespedeza,repens,
Lespedeza,stuevei,
Lespedeza,thunbergii,
Lespedeza,virginica,
Lupinus,perennis,
Lupinus,villosus,
Petalostemon,albidum,
Petalostemon,pinnatum,
Phaseolus,sinuatus,
Psoralea,canescens,
Psoralea,lupinellus,
Pueraria,lobata,
Rhynchosia,difformis,
Rhynchosia,reniformis,
Rhynchosia,tomentosa,
Robinia,pseudoacacia,
Lythrum,alatum,lanceolatum
Rotala,ramosior,
Magnolia,grandiflora,
Hibiscus,aculeatus,
Hibiscus,moscheutos,
Sida,elliottii,
Sida,rhombifolia,
Rhexia,alifanus,
Rhexia,aristosa,
Rhexia,cubensis,
Rhexia,mariana,
Rhexia,petiolata,
Rhexia,virginica,
Rhexia,virginica,aristosa
Melia,azedarach,
Calycocarpum,lyonii,
Cocculus,carolinus,
Nymphoides,aquatica,
Broussonetia,papyrifera,
Morus,rubra,
Myrica,cerifera,
Myrica,heterophylla,
Nelumbo,lutea,
Nymphaea,odorata,
Nyssa,aquatica,
Nyssa,biflora,
Nyssa,ogeche,
Nyssa,sylvatica,
Passiflora,incarnata,
Passiflora,lutea,
Phytolacca,americana,
Plantago,aristata,
Plantago,heterophylla,
Plantago,virginica,
Platanus,occidentalis,
Phlox,carolina,
Phlox,floridana,
Phlox,pilosa,
Polygala,boykinii,
Polygala,chapmanii,
Polygala,cruciata,
Polygala,cymosa,
Polygala,grandiflora,
Polygala,incarnata,
Polygala,lutea,
Polygala,mariana,
Polygala,nana,
Polygala,nuttallii,
Polygala,polygama,
Polygala,ramosa,
Brunnichia,ovata,
Eriogonum,tomentosum,
Polygonella,gracilis,
Polygonella,polygama,
Polygonum,caespitosum,longisetum
Polygonum,hydropiperoides,
Polygonum,lapathifolium,
Polygonum,punctatum,
Rumex,crispus,
Rumex,hastatulus,
Claytonia,virginica,
Anagallis,arvensis,
Lysimachia,lanceolata,
Galium,hispidulum,
Galium,pilosum,
Galium,uniflorum,
Hedyotis,boscii,
Hedyotis,corymbosa,
Hedyotis,crassifolia,
Hedyotis,procumbens,
Hedyotis,uniflora,
Mitchella,repens,
Pentodon,pentandrus,
Richardia,scabra,
Spermacoce,glabra,
Ptelea,trifoliata,
Populus,deltoides,
Salix,humilis,
Salix,nigra,
Bumelia,lanuginosa,
Bumelia,reclinata,
Bumelia,thornei,
Saururus,cernuus,
Decumaria,barbara,
Itea,virginica,
Agalinis,fasciculata,
Agalinis,linifolia,
Agalinis,obtusifolia,
Agalinis,pinetorum,
Agalinis,setacea,
Agalinis,tenuifolia,
Aureolaria,flava,
Aureolaria,pedicularia,
Bacopa,caroliniana,
Buchnera,floridana,
Gratiola,brevifolia,
Gratiola,pilosa,
Gratiola,ramosa,
Angelica,venenosa,
Apium,leptophyllum,
Centella,asiatica,
Chaerophyllum,tainturieri,
Daucus,carota,
Daucus,pusillus,
Eryngium,prostratum,
Eryngium,yuccifolium,
Hydrocotyle,verticillata,
Oxypolis,filiformis,
Ptilimnium,capillaceum,
Sanicula,canadensis,
Sanicula,marilandica,
Spermolepis,divaricata,
Thaspium,trifoliatum,
Zizia,trifoliata,
Boehneria,cylindrica,
Pilea,pumila,
Valerianella,radiata,
Juniperus,virginiana,
Pinus,echinata,
Pinus,elliottii,
Pinus,glabra,
Pinus,palustris,
Pinus,taeda,
Taxodium,ascendens,
Taxodium,distichum,
Polianthes,virginica,
Yucca,flaccida,
Echinodorus,parvulus,
Sagittaria,graminea,
Sagittaria,isoetiformis,
Hymenocallis,occidentalis,
Leucojum,aestivum,
Cyperus,esculentus,
Cyperus,filiculmis,
Cyperus,haspan,
Cyperus,iria,
Cyperus,lanceolatus,
Cyperus,odoratus,
Cyperus,polystachyos,
Cyperus,pseudovegetus,
Cyperus,retrofractus,
Cyperus,retrorsus,
Cyperus,robustus,
Cyperus,rotundus,
Cyperus,strigosus,
Cyperus,sesquiflorus,
Cyperus,virens,
Dichromena,latifolia,
Eleocharis,acicularis,
Eleocharis,baldwinii,
Eleocharis,melanocarpa,
Eleocharis,microcarpa,
Eleocharis,obtusa,
Eleocharis,tricostata,
Fimbristylis,autumnalis,
Fimbristylis,carolinianus,
Fimbristylis,miliacea,
Fimbristylis,perpusilla,
Fimbristylis,puberula,
Fimbristylis,vahlii,
Fuirena,breviseta,
Fuirena,squarrosa,
Lipocarpha,maculata,
Psilocarya,nitens,
Rhynchospora,cephalantha,
Rhynchospora,corniculata,
Rhynchospora,debilis,
Rhynchospora,filifolia,
Rhynchospora,globularis,globular
Rhynchospora,globularis,pinetorum
Rhynchospora,grayi,
Rhynchospora,harveyi,
Rhynchospora,inundata,
Rhynchospora,megalocarpa,
Aristida,stricta,
Aristida,tuberculosa,
Arundinaria,gigantea,
Axonopus,furcatus,
Bouteloua,hirsuta,
Brachiaria,platyphylla,
Brachiaria,ramosa,
Brachiaria,texanum,
Briza,minor,
Bromus,unioloides,
Cenchrus,echinatus,
Cenchrus,incertus,
Chasmanthium,latifolium,
Chasmanthium,nitidum,
Chasmanthium,sessiliflorum,
Chloris,floridana,
Chloris,glauca,
Chloris,petraea,
Ctenium,aromaticum,
Cynodon,dactylon,
Dactyloctenium,aegyptium,
Danthonia,sericea,
Digitaria,ciliaris,
Digitaria,filiformis,
Echinochloa,colonum,
Echinochloa,crusgalli,
Eleusine,indica,
Elymus,virginicus,
Elyonurus,tripsacoides,
Eragrostis,capillaris,
Eragrostis,elliottii,
Eragrostis,hirsuta,
Eragrostis,hypnoides,
Eragrostis,refracta,
Eragrostis,spectabilis,
Eremochloa,ophiuroides,
Erianthus,alopecuroides,
Erianthus,brevibarbis,
Erianthus,contortus,
Erianthus,giganteus,
Erianthus,strictus,
Paspalum,setaceum,
Paspalum,urvillei,
Poa,annua,
Rottboellia,cochinchinensis,
Schizachyrium,scoparium,
Schizachyrium,tenerum,
Setaria,corrugata,
Setaria,geniculata,
Setaria,glauca,
Sorghastrum,elliottii,
Sorghastrum,nutans,
Sorghastrum,secundum,
Sorghum,halepense,
Sphenopholis,obtusata,
Sporobolus,clandestinus,
Sporobolus,foridanus,
Sporobolus,indwus,
Sporobolus,junceus,
Stipa,avenacea,
Tridens,ambiguus,
Tridens,carolinianus,
Tridens,flavus,
Tridens,strictus,
Triplasis,americana,
Tripsacum,dactyloides,
Triticum,aestivum,
Vulpia,octoflora,
Lachnanthes,caroliniana,
Hypoxis,leptocarpa,
Iris,brevicaulis,
Sisyrinchium,nashii,
Sisyrinchium,xerophyllum,
Juncus,bufonius,
Juncus,dichotomus,
Juncus,effusus,
Juncus,elliottii,
Juncus,marginatus,
Smilax,pumila,
Smilax,rotundifolia,
Smilax,smallii,
Smilax,tamnoides,
Smilax,walteri,
Typha,latifolia,
Xyris,ambigua,
Xyris,caroliniana,
Xyris,iridifolia,
Xyris,jupicai,
Xyris,smalliana,
Dicliptera,brachiata,
Dicliptera,halei,
Dyschoriste,oblongifolia,
Elytraria,caroliniensis,
Justicia,ovata,lanceolata
Ruellia,caroliniensis,
Acer,rubrum,
Acer,saccharinum,
Acer,saccharum,floridanum
Mollugo,verticillata,
Alternanthera,sessilis,
Amaranthus,hybridus,
Amaranthus,spinosus,
Froelichia,floridana,
Rhus,copallina,
Rhus,glabra,
Toxicodendron,radicans,
Toxicodendron,toxicarium,
Alnus,serrulata,
Betula,nigra,
Carpinus,caroliniana,
Ostrya,virginiana,
Bignonia,capreolata,
Campsis,radicans,
Catalpa,bignonioides,
Heliotropium,indicum,
Lithospermum,caroliniense,
Myosotis,macrosperma,
Onosmodium,virginianum,
Brasenia,schreberi,
Opuntia,humifusa,
Callitriche,heterophylla,
Callitriche,peploides,
Calycanthus,florida,
Lobelia,amoena,
Lobelia,boykinii,
Lobelia,cardinalis,
Lobelia,glandulosa,
Lobelia,puberula,
Triodanus,biflora,
Triodanus,perfoliata,
Wahlenbergia,marginata,
Lonicera,japonica,
Lonicera,sempervirens,
Sambucus,canadensis,
Viburnum,dentatum,
Viburnum,obovatum,
Viburnum,rufidulum,
Boltonia,diffusa,
Carphephorus,odoratissimus,
Chaptalia,tomentosa,
Chrysopsis,gossypina,
Chrysopsis,mariana,
Cirsium,altissimum,
Cirsium,horridulum,
Conoclinium,coelestinum,
Conyza,bonariensis,
Conyza,canadensis,pusilla
Conyza,canadensis,canadensis
Coreopsis,lanceolata,
Coreopsis,major,
Coreopsis,nudata,
Coreopsis,tripteris,
Eclipta,alba,
Elephantopus,carolinianus,
Elephantopus,elatus,
Elephantopus,nudatus,
Erechtites,hieracifolia,
Erigeron,strigosus,
Erigeron,vernus,
Eupatorium,album,
Eupatorium,capillifolium,
Eupatorium,compositifolium,
Eupatorium,cuneifolium,
Eupatorium,hyssoptfolium,
Eupatorium,leptophyllum,
Eupatorium,leucolepis,
Eupatorium,mohrii,
Eupatorium,pilosum,
Eupatorium,rotundifolium,
Eupatorium,semiserratum,
Eupatorium,serotinum,
Euthamia,minor,
Euthamia,tenuifolia,
Facelis,retusa,
Gaillardia,aestivalis,
Gnaphalium,falcatum,
Gnaphalium,obtusifolium,
Gnaphalium,pensilvanicum,
Gnaphalium,purpureum,
Solidago,gracillima,
Solidago,leavenworthii,
Solidago,odora,
Solidago,petiolaris,
Solidago,stricta,
Solidago,tortifolia,
Sonchus,asper,
Spilanthes,americana,
Tetragonotheca,helianthoides,
Verbesina,aristata,
Verbesina,virginica,
Vernonia,angustifolia,
Vernonia,gigantea,
Xanthium,strumarium,
Calystegia,sepium,
Cuscuta,campestris,
Dichondra,carolinensis,
Evolvulus,sericeus,sericeus
Ipomoea,hederacea,
Ipomoea,hederifolia,
Ipomoea,pandurata,
Ipomoea,quamoclit,
Jacquemontia,tamnifolia,
Stylisma,aquatica,
Stylisma,humistrata,
Stylisma,patens,
Cornus,asperifolia,
Cornus,florida,
Cornus,foemina,
Arabidopsis,thaliana,
Brassica,napus,
Cardamine,pensylvanica,
Lepidium,virginicum,
Rhaphanus,raphanistrum,
Melothria,pendula,
Cyrilla,racemiflora,
Tragia,smallii,
Tragia,urens,
Tragia,urticifolia,
Castanea,pumila,
Fagus,grandifolia,
Quercus,alba,
Quercus,arkansana,
Quercus,austrina,
Quercus,falcata,
Quercus,geminata,
Quercus,hemisphaerica,
Quercus,incana,
Quercus,laevis,
Quercus,laurifolia,
Quercus,lyrata,
Quercus,margaretta,
Quercus,marilandica,
Quercus,michauxii,
Quercus,minima,
Quercus,nigra,
Quercus,phellos,
Quercus,pumila,
Quercus,shumardii,
Quercus,stellata,
Quercus,velutina,
Quercus,virginiana,
Bartonia,verna,
Gentiana,villosa,
Sabatia,calycina,
Sabatia,dodecandra,
Sabatia,stellaris,
Geranium,carolinianum,
Hypericum,brachyphyllum,
Hypericum,crux-andreae,
Hypericum,drummondii,
Hypericum,galioides,
Hypericum,gymnanthum,
Lycopus,angustifolius,
Lycopus,rubellus,
Monarda,punctata,
Perilla,frutescens,
Prunella,vulgaris,
Pycnanthemum,albescens,
Salvia,azurea,
Salvia,lyrata,
Scutellaria,incana,
Scutellaria,integrifolia,
Stachys,floridana,
Trichostema,dichotomum,
Lindera,melissaefolium,
Persea,borbonia,
Persea,palustris,
Sassafras,albidum,
Amorpha,fruticosa,
Amphicarpaea,bracteata,
Apios,americana,
Baptisia,alba,
Cassia,deeringiana,
Cassia,fasciculata,
Cassia,nictitans,
Cassia,obtusifolia,
Cassia,occidentalis,
Centrosema,virginianum,
Cercis,canadensis,
Clitoria,mariana,
Crotalaria,brevidens,
Crotalaria,lanceolata,
Crotalaria,purshii,
Crotalaria,rotundifolia,
Crotalaria,spectabilis,
Desmodium,ciliare,
Desmodium,floridanum,
Desmodium,glabellum,
Desmodium,laevigatum,
Desmodium,lineatum,
Schrankia,microphylla,
Strophostyles,umbellata,
Stylosanthes,biflora,
Tephrosia,florida,
Tephrosia,spicata,
Tephrosia,virginiana,
Trifolium,campestre,
Trifolium,carolinianum,
Trifolium,incaratum,
Trifolium,reflexum,
Vicia,dasycarpa,
Vicia,sativa,
Wisteria,frutescens,
Zornia,bracteata,
Leitneria,floridana,
Pinguicula,lutea,
Utricularia,biflora,
Utricularia,cornuta,
Utricularia,purpurea,
Utricularia,radiata,
Utricularia,subulata,
Linum,floridanum,chrysocarpum
Linum,medium,
Gelsemium,sempervirens,
Mitreola,petiolata,
Mitreola,sessilifolia,
Polypremum,procumbens,
Spigelia,marilandica,
Phoradendron,serotinum,
Cuphea,carthagenensis,
Lagerstroemia,indica,
Chionanthus,virginicus,
Forestiera,ligustrina,
Fraxinus,americana,
Fraxinus,caroliniana,
Fraxinus,profunda,
Jasminium,nudiflorum,
Ligustrum,sinense,
Osmanthus,americanus,
Gaura,filipes,
Ludwigia,alternifolia,
Ludwigia,decurrens,
Ludwigia,glandulosa,
Ludwigia,hirtella,
Ludwigia,leptocarpa,
Ludwigia,linearis,
Ludwigia,linifolia,
Ludwigia,palustris,
Ludwigia,pilosa,
Ludwigia,repens,
Ludwigia,spathulata,
Ludwigia,sphaerocarpa,
Ludwigia,virgata,
Oenothera,biennis,
Oenothera,curtisii,
Oenothera,fruticosa,
Oenothera,laciniata,
Conopholis,americana,
Orobanche,uniflora,
Oxalis,corniculata,
Oxalis,priceae,
Oxalis,rubra,
Argenone,albiflora,
Sanguinaria,canadensis,
Samolus,parviflorus,
Monotropa,uniflora,
Clematis,crispa,
Clematis,glaucophylla,
Ranunculus,carolinianus,
Ranunculus,parviflorus,
Ranunculus,pusillus,
Thalictrum,pubescens,
Berchemia,scandens,
Ceanothus,americanus,
Ceanothus,microphyllus,
Agrimonia,incisa,
Agrimonia,microcarpa,
Amelanchier,arborea,
Aronia,arbutifolia,
Crataegus,aestivalis,
Crataegus,flava,
Crataegus,marshallii,
Crataegus,pulcherrima,
Crataegus,spathulata,
Crataegus,uniflora,
Crataegus,viridis,
Prunus,angustifolia,
Prunus,caroliniana,
Prunus,serotina,
Prunus,umbellata,
Rosa,carolina,
Rosa,palustris,
Rosa,wichuraiana,
Rubus,argutus,
Rubus,cuneifolius,
Rubus,trivialis,
Borreria,laevis,
Cephalanthus,occidentalis,
Diodia,teres,
Diodia,virginiana,
Galium,aparine,
Galium,circaezans,
Linaria,canadensis,
Linaria,texana,
Lindernia,anagallidea,
Lindernia,dubia,
Micranthemum,umbrosum,
Penstemon,australis,
Schwalbea,americana,
Seymeria,cassioides,
Seymeria,pectinata,
Veronica,arvensis,
Veronica,peregrina,
Physalis,angulata,
Physalis,heterophylla,
Physalis,pubescens,
Physalis,virginiana,
Physalis,viscosa,
Solanum,americanum,
Solanum,nigrescens,
Solanum,pseudo-capsicum,
Melochia,corchorifolia,
Halesia,carolina,
Halesia,diptera,
Styrax,americana,
Tilia,caroliniana,
Triumfetta,semitriloba,
Piriqueta,caroliniana,
Celtis,laevigata,
Celtis,tenuifolia,
Planera,aquatica,
Ulmus,alata,
Ulmus,americana,
Callicarpa,americana,
Clerodendrum,indicum,
Glandularia,pulchella,
Lantana,camara,
Stylodon,carneus,
Verbena,brasiliensis,
Viola,affinis,
Viola,arvensis,
Viola,lanceolata,
Viola,septemloba,
Viola,sororia,
Viola,villosa,
Viola,walteri,
Ampelopsis,arborea,
Parthenocissus,quinquefolia,
Vitis,aestivalis,
Vitis,rotundifolia,
